participant_id,survey_type,q1_understanding_ai,q2_comfort_ai_tools,q3_frequency_usage,q4_perceptions,q5_ethics_comfort,q6_training_topics,q7_systems,q8_ai_help_areas
P001,pre,2,3,1,"B,C,D",1,"B,C,E","SAP, Cerebrum",Personalhåndtering og rekruttering
P002,pre,4,1,4,"C,E",2,"A,B,D,E","Planleggingsverktøy, Cristin, CRM-system, Cerebrum",Saksbehandling - raskere prosessering
P003,pre,3,2,2,"A,B,C",1,"A,C,D,E,F","Excel, Cristin",Søk i dokumenter og regelverk
P004,pre,3,4,3,"B,E",1,"A,B,C,E","Workday, Teams, Agresso/Unit4",Studenthenvendelser - chatbot
P005,pre,2,3,2,"C,D",1,"A,B","Agresso/Unit4, Salesforce",Ikke sikker
P006,pre,2,1,4,"A,B,C",2,"B,C,F","Outlook, FS (Felles Studentsystem)",Møtereferat og oppsummeringer
P007,pre,1,2,2,C,2,"C,F","FS (Felles Studentsystem), Power BI, Excel, Outlook",Studenthenvendelser - chatbot
P008,pre,4,3,1,A,2,"A,B,F","Ephorte, Planleggingsverktøy, Canvas, FS (Felles Studentsystem)",Kvalitetssikring av data
P009,pre,3,1,4,A,2,"A,B,C,D","Canvas, Oracle",Forbedring av intern kommunikasjon
P010,pre,3,2,1,B,3,"A,C,F","Outlook, Canvas",Budsjettanalyse og prognoser
P011,pre,1,3,2,"A,E",1,F,Excel,Forbedring av intern kommunikasjon
P012,pre,4,3,5,"B,C",3,"A,B,C,E,F","BOTT (Bestilling og tidtaking), ServiceNow, Teams, FS (Felles Studentsystem)",Forbedring av intern kommunikasjon
P013,pre,3,3,5,"C,D",3,"A,C,D,F","FS (Felles Studentsystem), Salesforce, Teams, Cerebrum",Rapportskriving og dokumentasjon
P014,pre,2,2,2,"A,E",1,"B,C","Agresso/Unit4, Cerebrum, Cristin, CRM-system, SAP",Timeplanlegging
P015,pre,2,3,2,D,4,"A,B,C,D,E",Excel,Møtereferat og oppsummeringer
P016,pre,2,2,2,"C,D",4,"A,B","ServiceNow, Salesforce, Power BI",Kvalitetssikring av data
P017,pre,2,2,1,A,1,"A,B,D,E",Cristin,E-postbehandling og svar på vanlige spørsmål
P018,pre,2,3,2,"B,C,D",2,A,"Cerebrum, Cristin, Planleggingsverktøy",Ikke sikker
P019,pre,2,3,3,"B,C",3,"B,D",Canvas,Timeplanlegging
P020,pre,2,4,3,D,3,"A,B,D,E,F","Oracle, Power BI",Forbedring av intern kommunikasjon
P021,pre,3,3,3,"B,C,E",2,"B,C,D,F","Power BI, Workday, Excel, CRM-system",Kursplanlegging
P022,pre,1,3,3,"A,B",2,"B,C,D,E","Salesforce, Power BI, Planleggingsverktøy",Møtereferat og oppsummeringer
P023,pre,2,1,1,B,2,"B,C,D,E","Excel, Ephorte",Planlegging og koordinering av aktiviteter
P024,pre,2,2,2,C,2,"A,B,E,F","Planleggingsverktøy, Oracle, Canvas",Automatisering av repeterende oppgaver
P025,pre,2,2,1,"B,C,D",3,"B,C,D",Canvas,Automatisering av repeterende oppgaver
P026,pre,3,2,2,"D,E",2,"A,B,C,E","FS (Felles Studentsystem), Planleggingsverktøy",Søk i dokumenter og regelverk
P027,pre,2,5,2,"C,E",2,"A,B,C,D,E","Outlook, Salesforce, Ephorte, Excel",Budsjettanalyse og prognoser
P028,pre,2,2,4,C,3,"A,B","Workday, HR-system, Outlook",Timeplanlegging
P029,pre,3,4,2,"A,D",1,"A,C,D","Cerebrum, Ephorte, Agresso/Unit4",Studenthenvendelser - chatbot
P030,pre,1,3,1,"B,C",2,"A,B,D,E,F",Ephorte,Timeplanlegging
P031,pre,3,3,1,"A,B,C",3,"A,F",HR-system,Forbedring av intern kommunikasjon
P032,pre,2,3,3,"B,C,D",4,"B,E","Excel, Cristin",Planlegging og koordinering av aktiviteter
P033,pre,1,3,2,"A,D",2,"A,B,C,E","Ephorte, HR-system, Planleggingsverktøy",Planlegging og koordinering av aktiviteter
P034,pre,4,3,1,"B,C",3,"B,F","CRM-system, Cristin, Cerebrum",Budsjettanalyse og prognoser
P035,pre,4,2,1,"D,E",1,"A,B,F","Power BI, FS (Felles Studentsystem), Canvas, BOTT (Bestilling og tidtaking)",Kvalitetssikring av data
P036,pre,3,3,3,"A,B",2,"B,E","SAP, Cerebrum, Oracle",Møtereferat og oppsummeringer
P037,pre,2,2,1,"B,D",3,"A,B,F","CRM-system, HR-system, ServiceNow, Workday, Cerebrum",Tekstforbedring og korrektur
P038,pre,1,1,3,"A,B",2,"A,B,C,D,E","HR-system, Excel",Dataanalyse og rapportering
