participant_id,survey_type,q1_understanding_ai,q2_comfort_ai_tools,q3_frequency_usage,q4_perceptions,q5_ethics_comfort,q6_training_topics,q7_systems,q8_ai_help_areas
P001,post,3,4,2,"A,B,D",3,N/A,"SAP, Cerebrum",Dataanalyse med KI for å identifisere mønstre i studentdata
P002,post,5,3,5,A,3,N/A,"Planleggingsverktøy, Cristin, CRM-system, Cerebrum",AI-støttet prosjektplanlegging
P003,post,5,4,2,"A,C",3,N/A,"Excel, Cristin",Automatisk kategorisering av innkommende henvendelser med språkmodeller
P004,post,5,5,5,"A,C,D",2,N/A,"Workday, Teams, Agresso/Unit4",Generativ KI for å lage maler og standardtekster
P005,post,5,5,3,C,2,N/A,"Agresso/Unit4, Salesforce",Prompt-basert søk i interne kunnskapsbaser
P006,post,4,4,4,C,5,N/A,"Outlook, FS (Felles Studentsystem)",Prompt-basert søk i interne kunnskapsbaser
P007,post,3,4,4,D,4,N/A,"FS (Felles Studentsystem), Power BI, Excel, Outlook",Generativ KI for å lage maler og standardtekster
P008,post,5,5,3,A,5,N/A,"Ephorte, Planleggingsverktøy, Canvas, FS (Felles Studentsystem)",KI til å forberede møtedokumenter basert på tidligere møter
P009,post,5,3,5,B,4,N/A,"Canvas, Oracle",Dataanalyse med KI for å identifisere mønstre i studentdata
P010,post,4,3,2,A,5,N/A,"Outlook, Canvas",Generere rapportutkast fra strukturerte data
P011,post,3,5,3,"A,B",4,N/A,Excel,Oversette dokumenter mellom norsk og engelsk med KI-støtte
P012,post,5,4,5,"A,B",5,N/A,"BOTT (Bestilling og tidtaking), ServiceNow, Teams, FS (Felles Studentsystem)",Chatbot for førstelinje support til ansatte
P013,post,5,4,5,"A,D",5,N/A,"FS (Felles Studentsystem), Salesforce, Teams, Cerebrum",Generere utkast til prosedyrer og veiledninger
P014,post,5,5,4,A,3,N/A,"Agresso/Unit4, Cerebrum, Cristin, CRM-system, SAP",Prediktiv analyse for ressursplanlegging
